Wilayah,Smart Letter,Letter Pack Light,Letter Pack Plus,Box 60,Box 80,Box 100,Box 120,Box 140,Box 160,Box 170
Osaka,Free,430,600,820,1130,1450,1770,2120,2450,3000
Hokkaido,Free,430,600,1740,2040,2350,2650,3010,3330,5030
Aomori,Free,430,600,1150,1440,1780,2080,2440,2750,3890
Iwate,Free,430,600,1150,1440,1780,2080,2440,2750,3890
Miyagi,Free,430,600,1150,1440,1780,2080,2440,2750,3890
Akita,Free,430,600,1150,1440,1780,2080,2440,2750,3890
Yamagata,Free,430,600,1150,1440,1780,2080,2440,2750,3890
Fukushima,Free,430,600,1150,1440,1780,2080,2440,2750,3890
Ibaraki,Free,430,600,990,1310,1620,1940,2300,2610,3750
Tochigi,Free,430,600,990,1310,1620,1940,2300,2610,3750
Gunma,Free,430,600,990,1310,1620,1940,2300,2610,3750
Saitama,Free,430,600,990,1310,1620,1940,2300,2610,3750
Chiba,Free,430,600,990,1310,1620,1940,2300,2610,3750
Tokyo,Free,430,600,990,1310,1620,1940,2300,2610,3750
Kanagawa,Free,430,600,990,1310,1620,1940,2300,2610,3750
Yamanashi,Free,430,600,990,1310,1620,1940,2300,2610,3750
Niigata,Free,430,600,990,1310,1620,1940,2300,2610,3750
Nagano,Free,430,600,990,1310,1620,1940,2300,2610,3750
Toyama,Free,430,600,880,1200,1500,1830,2170,2500,3070
Ishikawa,Free,430,600,880,1200,1500,1830,2170,2500,3070
Fukui,Free,430,600,880,1200,1500,1830,2170,2500,3070
Shizuoka,Free,430,600,880,1200,1500,1830,2170,2500,3070
Aichi,Free,430,600,880,1200,1500,1830,2170,2500,3070
Gifu,Free,430,600,880,1200,1500,1830,2170,2500,3070
Mie,Free,430,600,880,1200,1500,1830,2170,2500,3070
Nara,Free,430,600,880,1200,1500,1830,2170,2500,3070
Shiga,Free,430,600,880,1200,1500,1830,2170,2500,3070
Kyoto,Free,430,600,880,1200,1500,1830,2170,2500,3070
Hyogo,Free,430,600,880,1200,1500,1830,2170,2500,3070
Wakayama,Free,430,600,880,1200,1500,1830,2170,2500,3070
Okayama,Free,430,600,880,1200,1500,1830,2170,2500,3070
Hiroshima,Free,430,600,880,1200,1500,1830,2170,2500,3070
Tottori,Free,430,600,880,1200,1500,1830,2170,2500,3070
Shimane,Free,430,600,880,1200,1500,1830,2170,2500,3070
Yamaguchi,Free,430,600,880,1200,1500,1830,2170,2500,3070
Tokushima,Free,430,600,880,1200,1500,1830,2170,2500,3070
Kagawa,Free,430,600,880,1200,1500,1830,2170,2500,3070
Ehime,Free,430,600,880,1200,1500,1830,2170,2500,3070
Kochi,Free,430,600,880,1200,1500,1830,2170,2500,3070
Fukuoka,Free,430,600,990,1310,1620,1940,2300,2610,3750
Saga,Free,430,600,990,1310,1620,1940,2300,2610,3750
Nagasaki,Free,430,600,990,1310,1620,1940,2300,2610,3750
Kumamoto,Free,430,600,990,1310,1620,1940,2300,2610,3750
Oita,Free,430,600,990,1310,1620,1940,2300,2610,3750
Miyazaki,Free,430,600,990,1310,1620,1940,2300,2610,3750
Kagoshima,Free,430,600,990,1310,1620,1940,2300,2610,3750
Okinawa,Free,430,600,1450,1810,2160,2490,2860,3180,4350